# rbins	dsigma	yerr
3.256964999999999860e-02 8.928333853916812757e+01 9.072762000000000171e+01
5.161941999999999919e-02 1.406164338649807632e+02 3.912391999999999825e+01
8.181127000000000538e-02 9.940836168567165032e+01 2.127684999999999960e+01
1.296621000000000024e-01 1.142048005684292207e+02 1.359348999999999918e+01
2.055005999999999777e-01 5.693624183636629965e+01 8.594720000000000582e+00
3.256964999999999999e-01 3.751623482468746573e+01 5.256610000000000227e+00
5.161942000000000474e-01 3.128949812725089785e+01 3.421530000000000182e+00
8.181126999999999150e-01 1.952577401026583104e+01 2.172829999999999817e+00
1.296621000000000024e+00 1.025306157067975654e+01 1.350349999999999939e+00
2.055006000000000110e+00 5.491911254185592561e+00 8.712200000000001054e-01
