# rbins	dsigma	yerr
3.127720999999999973e-02 1.975967554374620079e+02 9.534434000000000253e+01
4.957103000000000204e-02 1.478689643717744673e+02 3.047132000000000218e+01
7.856478999999999546e-02 5.403942209219940196e+01 1.834477000000000046e+01
1.245168000000000108e-01 7.259915556576633833e+01 1.189076999999999984e+01
1.973457999999999879e-01 3.660373274046158798e+01 7.720730000000000537e+00
3.127720999999999418e-01 2.923219008548775477e+01 4.769650000000000389e+00
4.957102999999999926e-01 2.262927867571715979e+01 3.143320000000000114e+00
7.856479000000000656e-01 1.291692357932845248e+01 1.887369999999999992e+00
1.245168000000000053e+00 8.886102488619719963e+00 1.172150000000000025e+00
1.973458000000000157e+00 5.871325625949316951e+00 7.619000000000000217e-01
