# rbins	dsigma	yerr
3.256964999999999860e-02 8.332583999999999946e+01 1.145654699999999906e+02
5.161941999999999919e-02 8.695653199563149371e+01 4.695937999999999590e+01
8.181127000000000538e-02 1.331681359045304021e+02 2.800547000000000253e+01
1.296621000000000024e-01 8.081653287178578182e+01 1.818850000000000122e+01
2.055005999999999777e-01 7.621706071443050234e+01 1.093828000000000067e+01
3.256964999999999999e-01 4.010829190313087622e+01 6.416970000000000063e+00
5.161942000000000474e-01 3.379004627752736667e+01 3.930180000000000451e+00
8.181126999999999150e-01 2.443415291019958246e+01 2.632979999999999876e+00
1.296621000000000024e+00 1.329110883320892356e+01 1.523830000000000018e+00
2.055006000000000110e+00 8.899523358589462418e+00 1.088529999999999998e+00
