# rbins	dsigma	yerr
2.972626999999999908e-02 9.244484468772581920e+01 5.375370999999999810e+01
4.711296999999999707e-02 1.222277307343299526e+02 2.781520000000000081e+01
7.466902000000000261e-02 3.362469154591695997e+01 1.596540000000000070e+01
1.183424000000000004e-01 4.800798151207114728e+01 1.053250000000000064e+01
1.875601000000000074e-01 4.035258929520951199e+01 6.215679999999999872e+00
2.972626999999999908e-01 2.987602729339271690e+01 4.063860000000000028e+00
4.711297000000000401e-01 1.062296695232465282e+01 2.524469999999999992e+00
7.466901999999998596e-01 7.215067639093579288e+00 1.587309999999999999e+00
1.183424000000000031e+00 3.948532284631977696e+00 9.723299999999999166e-01
1.875600999999999852e+00 1.406181292751607081e+00 6.593999999999999861e-01
