# rbins	dsigma	yerr
3.127720999999999973e-02 5.139732511523046554e+01 1.016566600000000022e+02
4.957103000000000204e-02 1.633507278055817835e+02 4.287870000000000203e+01
7.856478999999999546e-02 9.370374198636680774e+01 2.627065999999999590e+01
1.245168000000000108e-01 7.844736175318202243e+01 1.610857000000000028e+01
1.973457999999999879e-01 4.210260186677008676e+01 9.402449999999999974e+00
3.127720999999999418e-01 3.145729761180992767e+01 6.125580000000000247e+00
4.957102999999999926e-01 2.621812678474333325e+01 3.863509999999999778e+00
7.856479000000000656e-01 1.836765710229682114e+01 2.653220000000000134e+00
1.245168000000000053e+00 9.719024172934615180e+00 1.566579999999999862e+00
1.973458000000000157e+00 6.825815483842565534e+00 1.069290000000000074e+00
