# rbins	dsigma	yerr
3.050173999999999941e-02 1.949783426594966897e+02 8.642128000000001009e+01
4.834200000000000302e-02 1.024421704440025565e+02 3.102362999999999715e+01
7.661690999999999641e-02 1.073491678590713008e+02 2.020625000000000071e+01
1.214295999999999986e-01 6.959251716503381147e+01 1.384187999999999796e+01
1.924529999999999852e-01 3.166768702337513730e+01 8.360360000000000014e+00
3.050174000000000496e-01 2.397891659590132107e+01 5.115140000000000242e+00
4.834199999999999608e-01 2.014820526426179370e+01 3.306490000000000151e+00
7.661690999999999363e-01 1.143976664514130448e+01 1.982129999999999947e+00
1.214295999999999820e+00 5.462631825166721633e+00 1.253989999999999938e+00
1.924529999999999852e+00 2.187888047212518394e+00 8.184700000000000308e-01
