# rbins	dsigma	yerr
3.334511999999999893e-02 1.977926199999999994e+02 1.492881199999999922e+02
5.284845999999999988e-02 9.986902510722555348e+01 5.716113000000000710e+01
8.375915999999999917e-02 1.854996537221198025e+02 3.150182000000000215e+01
1.327492999999999868e-01 1.569605229726172979e+02 1.929713999999999885e+01
2.103934999999999833e-01 1.143753626165919570e+02 1.230708999999999875e+01
3.334512000000000032e-01 8.137062809031839095e+01 7.393660000000000565e+00
5.284845999999999711e-01 5.838776316409324352e+01 4.506289999999999907e+00
8.375915999999998807e-01 3.495646122675785250e+01 2.897619999999999862e+00
1.327493000000000034e+00 2.590203526750946850e+01 1.902199999999999891e+00
2.103934999999999889e+00 1.457418278219177843e+01 1.222489999999999855e+00
