# rbins	dsigma	yerr
2.895079999999999876e-02 5.816119147490306318e+01 5.898911999999999267e+01
4.588393000000000332e-02 1.087487506170663636e+02 3.013404999999999845e+01
7.272112999999999494e-02 3.919034172179222253e+01 1.754720999999999975e+01
1.152551999999999882e-01 3.656144731990163876e+01 1.033228000000000080e+01
1.826672000000000018e-01 2.789832128195997996e+01 6.667730000000000601e+00
2.895079999999999876e-01 2.728312028633189357e+01 4.610269999999999868e+00
4.588393000000000055e-01 7.123148196508466867e+00 2.661770000000000191e+00
7.272113000000000049e-01 3.796973505288138373e+00 1.753649999999999931e+00
1.152552000000000021e+00 2.566831318528924211e+00 1.121379999999999821e+00
1.826672000000000073e+00 7.890060868760347956e-01 7.470499999999999918e-01
